Won,Lost,Draw,GF,GA,PPM,Foreign playing time %,Average age,diversity
16,10,12,71,51,1.5789473684210527,40.53585710477206,24.16,1.02459019652
15,10,13,50,48,1.5263157894736843,75.38646696977803,24.473684210526315,1.06624418198
16,13,9,48,40,1.5,66.05045150635306,25.235294117647058,1.04845307056
15,13,10,45,53,1.4473684210526316,69.15058120934201,23.393939393939394,1.05830995531
13,15,10,42,50,1.2894736842105263,40.329579639538906,25.13888888888889,1.03081325373
11,14,13,66,61,1.2105263157894737,59.13323401085453,23.405405405405407,1.04398421295
11,17,10,45,65,1.131578947368421,56.801807789445704,24.967741935483872,1.04246974245
10,16,12,43,53,1.105263157894737,51.57018640146781,23.5,1.03762392236
10,18,10,34,51,1.0526315789473684,63.196946646382145,25.771428571428572,1.05296624713
11,21,6,36,59,1.0263157894736843,77.5650923805974,24.022222222222222,1.03662174364
9,19,10,36,54,0.9736842105263158,65.55960326534954,25.72972972972973,1.06411376694
8,18,12,38,60,0.9473684210526315,78.87556621369572,26.857142857142858,1.05330587096
10,22,6,41,66,0.9473684210526315,66.88849689972204,23.906976744186046,1.04030468127
8,19,11,46,62,0.9210526315789473,66.00870749752931,23.838709677419356,1.04921585936
1,29,8,20,89,0.2894736842105263,63.54249827026452,25.73170731707317,1.0310512848
28,4,6,68,24,2.3684210526315788,73.30436173616295,23.205128205128204,1.06639287886
